,short_name,model_name,results,accuracy,macro,per_class_Precision_1,per_class_Precision_2,per_class_Precision_3,per_class_Precision_4,per_class_Recall_1,per_class_Recall_2,per_class_Recall_3,per_class_Recall_4,per_class_F-score_1,per_class_F-score_2,per_class_F-score_3,per_class_F-score_4,per_class_Support_1,per_class_Support_2,per_class_Support_3,per_class_Support_4
15,alpaca style,meta-llama/Llama-2-70b-chat-hf,"{""accuracy"": 0.8395061728395061, ""macro"": [0.8347537878787878, 0.7902906719717064, 0.8014112903225807, null], ""per_class"": {""Precision"": {""1"": 0.8181818181818182, ""2"": 0.9583333333333334, ""3"": 0.6875, ""4"": 0.875}, ""Recall"": {""1"": 0.9310344827586207, ""2"": 0.9583333333333334, ""3"": 0.7333333333333333, ""4"": 0.5384615384615384}, ""F-score"": {""1"": 0.8709677419354839, ""2"": 0.9583333333333334, ""3"": 0.7096774193548386, ""4"": 0.6666666666666667}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.8395061728395061,"[0.8347537878787878, 0.7902906719717064, 0.8014112903225807, None]",0.8181818181818182,0.9583333333333334,0.6875,0.875,0.9310344827586207,0.9583333333333334,0.7333333333333333,0.5384615384615384,0.8709677419354839,0.9583333333333334,0.7096774193548386,0.6666666666666667,29,24,15,13
16,alpaca succint,meta-llama/Llama-2-70b-chat-hf,"{""accuracy"": 0.8024691358024691, ""macro"": [0.8354978354978355, 0.7414124668435013, 0.7485390369331464, null], ""per_class"": {""Precision"": {""1"": 0.8181818181818182, ""2"": 1.0, ""3"": 0.5238095238095238, ""4"": 1.0}, ""Recall"": {""1"": 0.9310344827586207, ""2"": 0.9166666666666666, ""3"": 0.7333333333333333, ""4"": 0.38461538461538464}, ""F-score"": {""1"": 0.8709677419354839, ""2"": 0.9565217391304348, ""3"": 0.611111111111111, ""4"": 0.5555555555555556}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.8024691358024691,"[0.8354978354978355, 0.7414124668435013, 0.7485390369331464, None]",0.8181818181818182,1.0,0.5238095238095238,1.0,0.9310344827586207,0.9166666666666666,0.7333333333333333,0.38461538461538464,0.8709677419354839,0.9565217391304348,0.611111111111111,0.5555555555555556,29,24,15,13
17,example,meta-llama/Llama-2-70b-chat-hf,"{""accuracy"": 0.4691358024691358, ""macro"": [0.7324016563146998, 0.41093059239610963, 0.38687423687423683, null], ""per_class"": {""Precision"": {""1"": 0.4057971014492754, ""2"": 1.0, ""3"": 0.6666666666666666, ""4"": 0.8571428571428571}, ""Recall"": {""1"": 0.9655172413793104, ""2"": 0.08333333333333333, ""3"": 0.13333333333333333, ""4"": 0.46153846153846156}, ""F-score"": {""1"": 0.5714285714285714, ""2"": 0.15384615384615385, ""3"": 0.2222222222222222, ""4"": 0.6}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.4691358024691358,"[0.7324016563146998, 0.41093059239610963, 0.38687423687423683, None]",0.4057971014492754,1.0,0.6666666666666666,0.8571428571428571,0.9655172413793104,0.08333333333333333,0.13333333333333333,0.46153846153846156,0.5714285714285714,0.15384615384615385,0.2222222222222222,0.6,29,24,15,13
18,original bmk,meta-llama/Llama-2-70b-chat-hf,"{""accuracy"": 0.18518518518518517, ""macro"": [0.1845238095238095, 0.2265970380194518, 0.13568269762299612, null], ""per_class"": {""Precision"": {""1"": 0.23809523809523808, ""2"": 0.3333333333333333, ""3"": 0.0, ""4"": 0.16666666666666666}, ""Recall"": {""1"": 0.1724137931034483, ""2"": 0.041666666666666664, ""3"": 0.0, ""4"": 0.6923076923076923}, ""F-score"": {""1"": 0.19999999999999998, ""2"": 0.07407407407407407, ""3"": 0.0, ""4"": 0.26865671641791045}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.18518518518518517,"[0.1845238095238095, 0.2265970380194518, 0.13568269762299612, None]",0.23809523809523808,0.3333333333333333,0.0,0.16666666666666666,0.1724137931034483,0.041666666666666664,0.0,0.6923076923076923,0.19999999999999998,0.07407407407407407,0.0,0.26865671641791045,29,24,15,13
19,alpaca style,meta-llama/Llama-2-7b-chat-hf,"{""accuracy"": 0.37037037037037035, ""macro"": [0.2576923076923077, 0.27102674624226347, 0.18990606987831782, null], ""per_class"": {""Precision"": {""1"": 0.4307692307692308, ""2"": 0.5, ""3"": 0.0, ""4"": 0.1}, ""Recall"": {""1"": 0.9655172413793104, ""2"": 0.041666666666666664, ""3"": 0.0, ""4"": 0.07692307692307693}, ""F-score"": {""1"": 0.5957446808510639, ""2"": 0.07692307692307693, ""3"": 0.0, ""4"": 0.08695652173913043}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.37037037037037035,"[0.2576923076923077, 0.27102674624226347, 0.18990606987831782, None]",0.4307692307692308,0.5,0.0,0.1,0.9655172413793104,0.041666666666666664,0.0,0.07692307692307693,0.5957446808510639,0.07692307692307693,0.0,0.08695652173913043,29,24,15,13
20,alpaca succint,meta-llama/Llama-2-7b-chat-hf,"{""accuracy"": 0.345679012345679, ""macro"": [0.12284820031298904, 0.2519893899204244, 0.15772727272727274, null], ""per_class"": {""Precision"": {""1"": 0.38028169014084506, ""2"": 0.0, ""3"": 0.0, ""4"": 0.1111111111111111}, ""Recall"": {""1"": 0.9310344827586207, ""2"": 0.0, ""3"": 0.0, ""4"": 0.07692307692307693}, ""F-score"": {""1"": 0.54, ""2"": 0.0, ""3"": 0.0, ""4"": 0.09090909090909093}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.345679012345679,"[0.12284820031298904, 0.2519893899204244, 0.15772727272727274, None]",0.38028169014084506,0.0,0.0,0.1111111111111111,0.9310344827586207,0.0,0.0,0.07692307692307693,0.54,0.0,0.0,0.09090909090909093,29,24,15,13
21,example,meta-llama/Llama-2-7b-chat-hf,"{""accuracy"": 0.2222222222222222, ""macro"": [0.4466101694915254, 0.30765915119363396, 0.19305555555555554, null], ""per_class"": {""Precision"": {""1"": 1.0, ""2"": 0.3333333333333333, ""3"": 0.26666666666666666, ""4"": 0.1864406779661017}, ""Recall"": {""1"": 0.034482758620689655, ""2"": 0.08333333333333333, ""3"": 0.26666666666666666, ""4"": 0.8461538461538461}, ""F-score"": {""1"": 0.06666666666666667, ""2"": 0.13333333333333333, ""3"": 0.26666666666666666, ""4"": 0.3055555555555555}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.2222222222222222,"[0.4466101694915254, 0.30765915119363396, 0.19305555555555554, None]",1.0,0.3333333333333333,0.26666666666666666,0.1864406779661017,0.034482758620689655,0.08333333333333333,0.26666666666666666,0.8461538461538461,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.3055555555555555,29,24,15,13
22,original bmk,meta-llama/Llama-2-7b-chat-hf,"{""accuracy"": 0.19753086419753085, ""macro"": [0.2625, 0.25592948717948716, 0.19566753642096107, null], ""per_class"": {""Precision"": {""1"": 0.0, ""2"": 0.4166666666666667, ""3"": 0.5, ""4"": 0.13333333333333333}, ""Recall"": {""1"": 0.0, ""2"": 0.20833333333333334, ""3"": 0.2, ""4"": 0.6153846153846154}, ""F-score"": {""1"": 0.0, ""2"": 0.2777777777777778, ""3"": 0.28571428571428575, ""4"": 0.2191780821917808}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.19753086419753085,"[0.2625, 0.25592948717948716, 0.19566753642096107, None]",0.0,0.4166666666666667,0.5,0.13333333333333333,0.0,0.20833333333333334,0.2,0.6153846153846154,0.0,0.2777777777777778,0.28571428571428575,0.2191780821917808,29,24,15,13
23,numeric succint,meta-llama/Llama-2-7b-chat-hf,"{""accuracy"": 0.18518518518518517, ""macro"": [0.2911392405063291, 0.2672413793103448, 0.1029102384291725, null], ""per_class"": {""Precision"": {""1"": 1.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.16455696202531644}, ""Recall"": {""1"": 0.06896551724137931, ""2"": 0.0, ""3"": 0.0, ""4"": 1.0}, ""F-score"": {""1"": 0.12903225806451613, ""2"": 0.0, ""3"": 0.0, ""4"": 0.2826086956521739}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.18518518518518517,"[0.2911392405063291, 0.2672413793103448, 0.1029102384291725, None]",1.0,0.0,0.0,0.16455696202531644,0.06896551724137931,0.0,0.0,1.0,0.12903225806451613,0.0,0.0,0.2826086956521739,29,24,15,13
24,alpaca style,openai,"{""accuracy"": 0.8641975308641975, ""macro"": [0.8589829749103943, 0.825419982316534, 0.8303030303030303, null], ""per_class"": {""Precision"": {""1"": 0.8387096774193549, ""2"": 1.0, ""3"": 0.7222222222222222, ""4"": 0.875}, ""Recall"": {""1"": 0.896551724137931, ""2"": 1.0, ""3"": 0.8666666666666667, ""4"": 0.5384615384615384}, ""F-score"": {""1"": 0.8666666666666666, ""2"": 1.0, ""3"": 0.7878787878787877, ""4"": 0.6666666666666667}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.8641975308641975,"[0.8589829749103943, 0.825419982316534, 0.8303030303030303, None]",0.8387096774193549,1.0,0.7222222222222222,0.875,0.896551724137931,1.0,0.8666666666666667,0.5384615384615384,0.8666666666666666,1.0,0.7878787878787877,0.6666666666666667,29,24,15,13
